Time, Open, High, Low, Close, Volume
1537000200000, 216.22, 217.65, 215.43, 215.8, 10614.34436
1537002000000, 215.81, 218.0, 215.81, 216.76, 8170.36332
1537003800000, 216.79, 218.76, 216.0, 218.04, 6898.58183
1537005600000, 218.04, 219.79, 215.57, 215.75, 10243.49242
1537007400000, 215.9, 217.5, 215.72, 215.93, 5177.34162
1537009200000, 215.93, 215.93, 213.64, 215.65, 16781.8931
1537011000000, 215.66, 217.0, 215.49, 216.95, 5014.8707
1537012800000, 216.95, 217.3, 216.0, 217.3, 3963.50746
1537014600000, 217.3, 218.76, 217.14, 218.33, 12725.56253
1537016400000, 218.33, 222.8, 218.16, 222.77, 23931.16591
1537018200000, 222.77, 223.44, 220.2, 221.64, 19137.97643
1537020000000, 221.64, 227.4, 221.56, 225.85, 31488.21703
1537021800000, 225.85, 226.97, 223.43, 224.88, 15649.79076
1537023600000, 224.88, 225.9, 223.12, 224.27, 9925.61545
1537025400000, 224.27, 224.99, 221.68, 224.04, 15076.3883
1537027200000, 224.12, 225.6, 222.8, 225.4, 8334.21838
1537029000000, 225.4, 227.0, 225.02, 225.56, 8145.25647
1537030800000, 225.56, 226.06, 223.1, 226.03, 8691.21253
1537032600000, 225.81, 227.42, 225.39, 227.22, 11447.71899
1537034400000, 227.22, 227.35, 224.45, 225.49, 6363.24382
1537036200000, 225.41, 225.96, 222.1, 223.4, 9222.60554
1537038000000, 223.44, 224.62, 221.94, 224.2, 11463.44741
1537039800000, 224.23, 224.69, 223.12, 224.11, 6310.56658
1537041600000, 224.14, 224.22, 222.28, 222.65, 2508.51588
1537043400000, 222.62, 224.08, 222.22, 223.66, 3204.96056
1537045200000, 223.66, 223.97, 218.7, 219.17, 14395.48413
1537047000000, 219.17, 221.8, 218.7, 220.77, 7574.05735
1537048800000, 220.77, 223.27, 220.46, 223.24, 4060.37208
1537050600000, 223.24, 223.65, 220.81, 221.2, 4634.97871
1537052400000, 221.21, 223.39, 220.91, 222.52, 2788.25949
1537054200000, 222.47, 223.4, 221.23, 221.29, 2755.52742
1537056000000, 221.62, 222.64, 219.52, 219.76, 6011.0531
1537057800000, 219.78, 221.36, 219.61, 220.81, 11515.7496
1537059600000, 220.8, 221.8, 220.66, 221.05, 6060.07772
1537061400000, 221.08, 221.21, 218.21, 218.95, 9432.88622
1537063200000, 218.99, 219.0, 216.19, 217.79, 13795.7647
1537065000000, 217.8, 218.59, 216.28, 217.94, 7108.80739
1537066800000, 217.94, 218.72, 216.96, 217.91, 8261.58532
1537068600000, 217.92, 218.0, 213.3, 214.72, 16029.81464
1537070400000, 214.72, 214.81, 208.1, 212.3, 40316.71394
1537072200000, 212.2, 215.5, 210.86, 214.9, 16266.82605
1537074000000, 214.94, 216.0, 213.21, 214.04, 13157.80277
1537075800000, 214.08, 216.57, 212.61, 216.02, 11905.41544
1537077600000, 216.08, 216.1, 214.16, 214.47, 5945.56004
1537079400000, 214.48, 216.02, 213.14, 214.46, 11651.55812
1537081200000, 214.43, 215.01, 212.99, 213.25, 9995.39962
1537083000000, 213.34, 214.79, 213.15, 214.02, 8209.81467
1537084800000, 214.04, 216.64, 213.28, 216.3, 12140.23614
1537086600000, 216.33, 218.4, 216.31, 217.22, 13922.86104
1537088400000, 217.35, 219.08, 215.63, 218.3, 10367.37555
1537090200000, 218.32, 219.09, 217.82, 217.9, 9873.11117
1537092000000, 217.98, 219.2, 217.3, 219.06, 9274.99238
1537093800000, 219.01, 221.11, 218.96, 220.75, 12319.76113
1537095600000, 220.79, 221.33, 218.8, 219.14, 9352.70103
1537097400000, 219.21, 219.94, 218.48, 219.37, 9922.15012
1537099200000, 219.37, 219.54, 217.52, 217.88, 7459.94483
1537101000000, 217.88, 220.28, 217.88, 219.53, 5049.57817
1537102800000, 219.71, 220.7, 218.2, 218.8, 4541.31286
1537104600000, 218.8, 219.21, 215.85, 216.63, 10650.72571
1537106400000, 216.61, 216.63, 214.9, 216.21, 10008.0295
1537108200000, 216.21, 217.67, 215.32, 217.31, 4942.52556
1537110000000, 217.37, 217.48, 215.5, 215.91, 2622.07828
1537111800000, 216.1, 217.56, 215.64, 217.55, 2299.0911
1537113600000, 217.55, 219.3, 217.5, 218.57, 5295.28121
1537115400000, 218.52, 218.83, 217.75, 218.49, 4908.94651
1537117200000, 218.53, 219.0, 216.87, 217.22, 4485.28139
1537119000000, 217.22, 218.68, 214.1, 218.06, 12082.6472
1537120800000, 218.08, 220.0, 217.98, 218.19, 7054.16614
1537122600000, 218.08, 219.0, 217.93, 218.21, 2229.01281
1537124400000, 218.32, 219.34, 217.94, 218.84, 3491.66249
1537126200000, 218.84, 223.01, 218.7, 222.13, 15336.30422
